Timestamp,Number of Worms (non-counted),Phosphorous01,Phosphorous02,Nitrogen01,Nitrogen02,Potassium01,Potassium02,Light Intensity,Temp01,Hum01,Heat01,SoilM01,SoilM02,Grams of Compost Harvested,Buzzer (NIL),,
"22 Dec 2023, 10.37 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.38 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.39 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.40 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.41 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.42 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.43 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.44 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.45 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.46 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.47 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.48 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.49 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.50 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.51 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.52 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.53 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.54 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.55 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.56 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,"too hot, moving tank",
"22 Dec 2023, 10.57 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.58 AM",20,160,150,120,150,100,94,NaN,27.9,,,1,1,,,,
"22 Dec 2023, 10.59 AM",20,160,150,120,150,100,94,NaN,28,,,1,1,,,,
"22 Dec 2023, 11.00 AM",20,160,150,120,150,100,94,NaN,27.9,,,1,1,,,,
"22 Dec 2023, 11.01 AM",20,160,150,120,150,100,94,NaN,27.7,,,1,1,,,,
"22 Dec 2023, 11.02 AM",20,160,150,120,150,100,94,NaN,28,,,1,1,,,,
"22 Dec 2023, 11.03 AM",20,160,150,120,150,100,94,NaN,28,,,1,1,,,,
"22 Dec 2023, 11.04 AM",20,160,150,120,150,100,94,NaN,28,,,1,1,,,,
"22 Dec 2023, 11.05 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.06 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.07 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.08 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.09 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.10 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.11 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.12 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.13 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.14 AM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 11.15 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.16 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.17 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.18 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.19 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.20 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.21 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.22 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.23 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.24 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.25 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.26 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.27 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.28 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.29 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.30 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.31 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.32 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.33 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.34 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.35 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.36 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.37 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.38 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.39 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.40 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.41 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.42 AM",20,160,150,120,150,100,94,NaN,27.4,,,1,1,,,,
"22 Dec 2023, 11.43 AM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 11.44 AM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 11.45 AM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 11.46 AM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 11.47 AM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 11.48 AM",20,160,150,120,150,100,94,NaN,28.1,,,1,1,,,,
"22 Dec 2023, 11.49 AM",20,160,150,120,150,100,94,NaN,28.1,,,1,1,,,,
"22 Dec 2023, 11.50 AM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 11.51 AM",20,160,150,120,150,100,94,NaN,28.1,,,1,1,,,,
"22 Dec 2023, 11.52 AM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 11.53 AM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 11.54 AM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 11.55 AM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 11.56 AM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 11.57 AM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 11.58 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 11.59 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 12.00 PM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 12.01 PM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 12.02 PM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 12.03 PM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 12.04 PM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 12.05 PM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 12.06 PM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 12.07 PM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 12.08 PM",20,160,150,120,150,100,94,NaN,28.3,,,1,1,,,,
"22 Dec 2023, 12.09 PM",20,160,150,120,150,100,94,NaN,28.3,,,1,1,,,,
"22 Dec 2023, 12.10 PM",20,160,150,120,150,100,94,NaN,28.3,,,1,1,,,,
"22 Dec 2023, 12.11 PM",20,160,150,120,150,100,94,NaN,28.3,,,1,1,,,,
"22 Dec 2023, 12.12 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.13 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.14 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.15 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.16 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.17 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.18 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.19 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.20 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.21 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.22 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.23 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.24 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.25 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.26 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.27 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.28 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.29 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.30 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.31 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.32 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.33 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.34 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.35 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.36 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.37 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.38 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.39 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.40 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.41 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.42 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.43 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.44 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.45 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.46 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.47 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.48 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.49 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.50 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.51 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.52 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.53 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.54 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.55 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.56 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.57 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.58 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 12.59 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.00 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.01 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.02 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.03 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.04 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.05 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.06 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.07 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.08 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.09 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.10 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.11 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.12 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.13 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.14 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.15 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.16 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.17 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.18 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.19 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.20 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.21 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.22 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.23 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.24 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.25 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.26 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.27 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.28 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.29 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.30 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.31 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.32 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.33 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.34 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.35 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.36 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.37 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.38 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.39 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.40 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.41 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.42 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.43 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.44 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.45 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.46 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.47 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.48 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.49 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.50 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.51 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.52 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.53 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.54 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.55 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.56 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.57 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.58 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 1.59 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.00 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.01 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.02 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.03 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.04 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.05 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.06 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.07 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.08 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.09 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.10 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.11 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.12 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.13 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.14 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.15 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.16 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.17 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.18 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.19 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.20 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.21 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.22 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.23 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.24 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.25 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.26 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.27 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.28 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.29 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.30 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.31 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.32 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.33 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
"22 Dec 2023, 2.34 PM",20,160,150,120,150,100,94,NaN,27.5,,,1,1,,,,
